"election","type","rgprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g20","A","4168900","365","154","104","10","0","1","1","0","1","0","94","169","196","14","7","3","0","20","6","4","2","0","0","0","0","1","0","1","0","2","1","3","0","2","0","1","0","0","0","0","0","0","1","2","0","0","6","6","10","9","15","18","0","10","19","13","12","16","20","0","5","3","10","6","7","18","0","0","4","9","10","6","26","0","4","9","10","10","10","8","0","3","9","8","9","5","9","0","1","2","1","1","0","0","0","0","1","1","2","2","2","107","18","5","2","4","1","3","0","14","45","11","11","3","2","3","4","2","23","49","15","9","1","6","1","2","2","9","12","0","0","0","0","0","0","0","1"
"g20","A","4169000","134","58","39","5","0","0","2","0","0","1","29","65","69","7","2","0","0","1","1","2","0","0","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","4","4","9","0","5","2","2","6","7","9","0","1","1","0","0","4","11","0","1","0","2","1","6","12","0","1","1","1","1","4","9","0","1","1","0","1","2","7","0","0","0","0","1","0","3","0","1","0","1","1","0","1","31","0","7","0","2","4","3","0","11","9","10","0","0","1","0","2","1","16","9","5","2","0","2","1","0","0","10","2","0","1","1","1","1","0","1","1"
"g20","A","4169100","297","128","82","10","0","1","3","0","1","0","72","138","159","7","2","6","0","8","7","2","2","3","0","0","0","0","0","0","0","0","1","5","0","0","0","1","0","1","1","0","0","1","1","1","3","0","5","8","6","7","10","21","0","7","9","10","8","14","23","0","0","1","3","5","10","19","0","0","2","0","7","9","26","0","4","3","3","8","8","10","0","3","5","7","5","11","5","0","0","2","0","3","1","1","0","1","0","2","1","2","2","64","16","13","6","3","2","5","2","17","31","7","8","1","4","2","2","2","25","38","9","2","4","7","1","2","1","8","11","0","0","0","0","0","0","1","3"
"g20","A","4169200","562","230","199","14","0","3","7","0","0","1","108","264","298","12","9","4","0","12","6","7","1","2","0","1","0","1","0","0","0","2","5","7","0","3","0","1","0","1","3","1","0","6","1","0","0","0","12","8","10","23","12","30","0","10","12","17","27","27","42","0","7","6","2","18","19","49","0","3","1","6","20","15","53","0","3","3","7","12","7","18","0","2","3","11","10","8","24","0","1","3","2","5","2","5","0","0","0","0","2","3","2","125","33","11","1","7","6","9","6","32","69","20","14","3","7","1","15","8","62","41","23","10","2","3","3","9","3","14","17","2","1","2","1","0","0","0","2"
"g20","A","4169300","332","120","103","8","0","0","3","0","0","0","98","166","166","5","5","5","0","15","9","12","1","0","1","0","0","1","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","3","16","5","9","15","0","8","3","9","10","18","20","0","3","1","6","5","12","27","0","2","0","7","8","10","22","0","3","5","7","14","7","19","0","3","2","7","7","10","14","0","0","0","1","2","1","1","0","0","0","2","1","2","1","65","12","10","5","1","0","0","0","27","38","11","8","3","1","1","1","2","38","38","14","12","6","4","2","3","8","11","7","2","1","0","0","0","1","0","0"
"g20","A","4176000","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","A","4176400","75","34","24","1","0","1","2","0","0","0","13","36","39","4","0","1","0","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","4","3","6","0","1","2","5","3","1","7","0","4","0","0","1","4","3","0","1","0","0","3","3","5","0","1","1","0","4","0","1","0","0","0","2","2","2","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","18","3","2","0","0","1","0","1","9","16","2","1","0","1","0","0","1","3","5","3","3","0","1","0","1","0","0","2","0","2","0","0","0","0","0","0"
"g20","A","4176500","373","166","109","7","0","1","3","0","1","0","86","198","175","7","5","3","1","17","8","11","0","0","0","0","0","1","1","0","0","4","0","4","0","3","0","5","0","0","0","0","0","0","0","0","0","0","13","6","3","12","9","33","0","10","13","8","14","15","30","0","4","7","6","9","16","20","0","2","1","3","10","11","20","0","10","7","7","3","11","14","0","5","4","8","2","10","5","0","2","1","0","0","3","2","0","0","1","0","0","2","1","78","19","10","0","9","3","7","7","33","52","11","9","2","5","2","2","1","25","44","11","4","5","6","1","3","2","10","7","1","0","1","0","0","0","0","3"
"g20","A","4176600","5","4","1","0","0","0","0","0","0","0","0","3","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","A","4176700","55","19","18","1","0","1","0","0","0","0","16","28","27","0","1","0","0","4","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","1","1","2","0","0","0","0","1","4","6","0","0","1","2","1","0","4","0","0","1","0","1","3","5","0","0","1","0","2","3","5","0","1","0","0","1","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","1","9","5","3","0","1","0","0","0","1","4","2","1","1","1","0","1","0","8","5","7","1","0","2","1","0","0","0","1","0","0","0","0","0","0","0","1"
