"election","type","rrprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g20","P","476300","97","29","43","7","0","1","0","0","0","0","17","48","49","4","5","3","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2","0","2","0","0","0","0","1","3","1","4","3","1","0","3","2","3","1","5","2","0","1","3","3","4","5","5","0","3","0","2","4","7","6","0","2","3","1","1","0","3","0","1","1","1","2","2","0","0","1","1","0","2","0","0","0","0","1","0","0","2","1","15","4","3","1","1","0","2","0","3","25","1","1","1","1","1","1","1","11","9","1","1","0","1","0","1","2","2","6","0","1","0","0","0","0","0","1"
"g20","P","476310","25","3","13","1","0","0","0","0","0","0","8","18","7","1","1","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","2","2","2","2","0","0","0","1","2","2","0","0","0","0","1","1","0","0","1","3","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","11","2","0","0","0","0","0","0","0","5","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"g20","P","476600","45","15","19","3","0","0","0","0","0","0","8","22","23","7","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","2","1","0","1","3","0","3","0","1","1","0","1","1","3","1","2","0","0","0","1","2","5","2","0","0","1","1","2","1","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","9","0","4","0","0","0","1","0","1","9","3","3","0","0","0","0","1","3","5","1","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","1"
"g20","P","476610","112","33","39","3","1","1","2","1","0","0","32","65","47","12","6","8","1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","2","1","1","0","3","5","7","3","2","1","0","3","7","2","6","8","2","0","2","4","0","3","1","1","0","5","8","3","1","1","2","0","2","5","2","1","2","0","0","1","3","0","0","1","0","0","0","0","2","1","0","0","22","6","2","1","0","0","2","0","0","30","2","1","0","1","0","0","1","4","29","2","1","0","0","0","0","0","0","7","0","0","0","0","0","0","0","1"
"g20","P","476700","74","28","26","0","2","4","2","0","0","1","11","36","38","15","2","3","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","1","0","0","0","0","0","0","1","0","0","3","3","2","2","0","1","0","4","5","4","1","2","1","0","1","3","4","1","4","1","0","1","1","2","5","2","1","0","1","2","2","1","1","0","0","0","2","1","1","0","0","0","1","1","0","1","1","0","0","2","0","1","2","0","0","25","1","1","0","0","0","0","0","1","18","2","1","0","1","2","0","1","1","7","3","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","2"
"g20","P","476710","46","19","10","0","1","2","0","0","0","0","14","21","25","8","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","1","1","3","2","1","0","0","3","3","2","1","2","0","0","0","1","0","4","0","0","0","0","2","1","0","2","0","0","0","3","3","0","1","0","0","1","2","2","1","1","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","15","3","0","0","1","0","0","0","0","7","2","0","0","0","0","0","0","1","11","0","1","1","0","1","0","0","0","2","1","0","0","0","0","0","0","0"
"g20","P","476800","41","4","28","0","0","0","1","0","0","0","8","26","15","1","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","2","2","1","6","5","0","0","0","2","1","4","5","0","1","1","1","2","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","15","1","2","0","1","2","2","0","5","5","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"g20","P","476900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","P","476910","23","3","10","2","0","3","0","0","0","0","5","12","11","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","1","1","1","2","2","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","1","1","0","0","0","0","2","0","0","0","0","1","0","1","0","1","0","1","0","0","0","1","1","0","0","0","7","0","1","0","0","0","0","0","2","4","0","0","0","0","0","0","0","1","4","0","0","0","0","0","1","0","0"
"g20","P","476920","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
