"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g20","P","472030","48","7","20","1","0","1","2","0","1","0","16","30","18","4","3","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","3","2","0","0","0","0","0","1","1","0","0","0","0","0","2","2","3","2","2","1","0","0","1","3","4","0","0","0","1","1","5","0","0","2","0","0","1","2","2","1","1","0","1","0","3","0","0","0","0","1","0","0","0","0","0","6","0","0","1","0","0","0","0","0","20","0","0","0","0","0","0","0","0","13","0","1","0","0","0","0","0","2","5","0","0","0","0","0","0","0","0"
"g20","P","472100","20","0","14","2","0","0","0","0","0","0","4","12","8","0","4","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1","2","1","0","2","0","0","1","1","2","0","1","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","12","1","0","0","0","0","0","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"g20","P","472500","129","23","47","8","0","8","4","0","0","0","39","79","50","12","6","8","5","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","2","1","1","1","2","5","0","1","3","4","1","2","0","0","2","4","6","5","6","5","0","2","5","2","1","7","2","0","4","5","6","3","7","0","0","3","2","3","3","3","0","0","1","4","3","2","2","2","0","1","2","0","0","1","2","15","3","2","1","0","0","1","0","1","23","6","6","1","1","1","4","0","5","26","6","3","0","0","0","1","0","3","16","1","0","0","1","1","1","0","0"
"g20","P","472600","272","75","97","11","1","12","4","0","0","0","72","155","117","26","9","24","6","1","2","0","0","0","0","0","0","0","3","0","1","1","0","1","0","1","3","4","1","0","0","0","0","0","4","2","1","0","4","11","3","11","5","0","0","3","8","3","11","11","5","0","6","8","14","12","8","8","0","2","3","10","6","9","11","0","6","17","14","3","3","3","0","6","6","8","3","2","1","0","0","9","4","4","2","0","0","3","2","3","1","0","0","52","2","6","2","3","1","2","3","4","76","6","5","0","2","0","1","0","7","55","12","5","0","0","0","0","0","0","26","1","1","0","0","0","0","0","0"
"g20","P","472610","77","18","27","3","0","4","3","0","0","0","22","41","36","8","5","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","2","0","3","3","0","0","1","3","3","0","0","2","0","2","7","0","5","1","0","0","0","4","2","3","2","1","0","2","4","2","1","2","1","0","1","6","1","1","1","0","0","0","1","3","0","0","1","0","1","2","1","0","1","0","11","4","1","0","0","0","1","0","1","19","2","3","1","0","0","0","1","1","18","1","1","0","0","0","0","1","1","9","1","0","0","0","0","0","0","0"
"g20","P","473510","96","14","56","4","0","0","2","0","0","0","20","49","47","4","5","2","0","2","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0","0","0","2","0","4","0","2","0","2","5","4","4","7","6","0","1","3","5","5","7","7","0","0","2","3","1","0","4","0","3","2","2","1","0","2","0","1","2","0","1","0","1","0","0","1","0","0","0","0","9","4","1","0","0","0","0","0","0","24","11","2","1","1","2","2","0","13","14","1","1","0","1","0","0","0","3","6","0","0","0","0","0","0","0","0"
"g20","P","473700","196","61","57","7","2","8","3","0","0","0","58","96","100","30","13","26","7","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","2","1","1","0","0","0","0","0","0","1","0","0","6","8","4","5","3","3","0","5","6","7","6","5","3","0","1","7","2","5","7","9","0","1","7","3","5","8","2","0","6","7","8","2","2","2","0","4","11","7","5","3","1","0","3","1","0","2","2","1","0","1","4","4","0","1","1","44","6","5","0","0","1","2","0","3","43","5","1","1","1","0","2","1","3","42","6","3","2","2","0","1","0","2","15","1","3","0","1","0","0","0","0"
"g20","P","473720","102","32","28","0","1","11","0","1","0","0","29","59","43","8","5","3","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","1","0","3","3","4","1","5","2","0","3","6","1","2","1","1","0","1","2","4","2","6","0","0","2","1","5","1","4","0","0","0","9","3","3","0","1","0","2","3","6","2","0","0","0","1","2","1","1","3","2","0","0","2","0","0","1","0","29","1","1","0","0","0","0","0","1","21","1","0","0","1","0","0","1","4","25","2","1","0","0","0","1","0","0","12","0","0","0","0","0","0","0","1"
"g20","P","474200","313","101","83","8","1","18","5","0","1","0","96","189","124","41","15","32","5","1","2","2","2","0","0","0","0","1","0","0","0","0","0","0","0","2","0","2","1","1","0","0","0","2","1","1","0","0","10","16","10","8","7","6","0","7","10","9","6","8","4","0","6","8","11","7","12","11","0","2","7","3","3","8","5","0","7","19","7","11","7","2","0","11","17","9","1","5","0","0","6","8","3","5","0","2","0","1","5","1","1","1","0","82","8","4","1","2","0","2","0","2","60","8","3","0","0","0","4","0","8","72","8","5","1","2","0","2","4","2","32","1","0","0","0","0","0","0","0"
"g20","P","474900","199","36","116","7","0","9","2","0","0","0","29","111","88","11","14","4","0","0","4","1","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","0","0","2","1","3","4","4","3","0","4","2","1","3","4","5","0","7","9","6","15","11","14","0","2","6","13","8","15","10","0","0","7","2","7","2","1","0","2","1","2","4","0","1","0","4","1","3","1","2","2","0","1","2","0","1","1","0","19","6","1","0","1","1","2","1","5","67","17","8","1","3","1","3","1","15","17","6","2","1","0","0","0","0","3","16","1","1","0","0","0","0","0","0"
