ID Occupied By,Occupied By,ID Year,Year,Household Ownership,Household Ownership Moe,Geography,ID Geography,Slug Geography,share
0,"Owner Occupied",2017,"2017",160381,1886,"Congressional District 42, CA","50000US0642","congressional-district-42-ca",0.7104520587388425
0,"Owner Occupied",2017,"2017",153891,2142,"Congressional District 49, CA","50000US0649","congressional-district-49-ca",0.5990843866909066
0,"Owner Occupied",2017,"2017",150943,1830.9999999999998,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.6298950056753689
0,"Owner Occupied",2017,"2017",86010,1353,"Congressional District 51, CA","50000US0651","congressional-district-51-ca",0.43453659029479375
0,"Owner Occupied",2017,"2017",151004,1700.0000000000002,"Congressional District 52, CA","50000US0652","congressional-district-52-ca",0.532548051490037
0,"Owner Occupied",2017,"2017",132460,1629,"Congressional District 53, CA","50000US0653","congressional-district-53-ca",0.4916870515480755
0,"Owner Occupied",2016,"2016",74881068,360470,"United States","01000US","united-states",0.6361150331368476
0,"Owner Occupied",2016,"2016",6929007,37726,"California","04000US06","california",0.541016446211862
0,"Owner Occupied",2016,"2016",166740,2239,"Congressional District 36, CA","50000US0636","congressional-district-36-ca",0.6400104403766212
0,"Owner Occupied",2016,"2016",157389,1883,"Congressional District 42, CA","50000US0642","congressional-district-42-ca",0.7078498569809488
0,"Owner Occupied",2016,"2016",151731,1868.9999999999998,"Congressional District 49, CA","50000US0649","congressional-district-49-ca",0.5970041785688992
0,"Owner Occupied",2016,"2016",149297,1837,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.6240756764439094
0,"Owner Occupied",2016,"2016",84846,1414,"Congressional District 51, CA","50000US0651","congressional-district-51-ca",0.42962827932977865
0,"Owner Occupied",2016,"2016",148679,1877.0000000000002,"Congressional District 52, CA","50000US0652","congressional-district-52-ca",0.5306950695854854
0,"Owner Occupied",2016,"2016",131109,1817.9999999999998,"Congressional District 53, CA","50000US0653","congressional-district-53-ca",0.49113323743594356
0,"Owner Occupied",2015,"2015",74712091,353420,"United States","01000US","united-states",0.6389673478521365
0,"Owner Occupied",2015,"2015",6909176,36701,"California","04000US06","california",0.5432681325961933
0,"Owner Occupied",2015,"2015",164842,2052,"Congressional District 36, CA","50000US0636","congressional-district-36-ca",0.6364850881121905
0,"Owner Occupied",2015,"2015",156359,2073,"Congressional District 42, CA","50000US0642","congressional-district-42-ca",0.7140886816494111
0,"Owner Occupied",2015,"2015",150108,2065,"Congressional District 49, CA","50000US0649","congressional-district-49-ca",0.5974875811998471
0,"Owner Occupied",2015,"2015",148491,1859.0000000000002,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.623079247056454
0,"Owner Occupied",2015,"2015",85004,1464,"Congressional District 51, CA","50000US0651","congressional-district-51-ca",0.43064421342736137
0,"Owner Occupied",2015,"2015",147725,1659,"Congressional District 52, CA","50000US0652","congressional-district-52-ca",0.5345421518465179
0,"Owner Occupied",2015,"2015",131467,1844.0000000000002,"Congressional District 53, CA","50000US0653","congressional-district-53-ca",0.49498117469879516
0,"Owner Occupied",2014,"2014",74787460,343068,"United States","01000US","united-states",0.6435483800462007
