senate_candidate1,senate_candidate2,senate_total_votes,house_democrat,house_republican,house_total_votes,presidential_democrat,presidential_republican,presidential_total_votes,Native People,Unemployment Rate,Mean household income,Families income below poverty,Graduate or professional degree,Hispanic,Male,Female
1.0,0.889353722036836,0.952390877389239,0.10148546971626182,0.0079281127503293,0.012371736783806556,0.9067763323072876,0.9255785965735961,0.9363253455295815,-0.22786914739360836,0.1361192290202697,0.2410068026443154,-0.020755799097598025,0.292337633202026,0.10604948844707573,0.1294172364426235,0.07993191179463591
0.889353722036836,1.0,0.9333362454696642,0.09026044796954646,0.04354155796206492,0.011464958584256078,0.8693029736694295,0.9008312587016767,0.9027666973179069,-0.2876985128480242,0.14371889862907586,0.2281653550942628,0.04122646484270938,0.2626834524207428,0.09733702233939671,0.11128952669456588,0.08076118009515122
0.952390877389239,0.9333362454696642,1.0,0.1555421645936742,0.01850479026414151,0.04770217914132665,0.9295006031819352,0.9706450834440363,0.9688571933350826,-0.24161251082754892,0.16243705138599238,0.2512030814785924,0.013112261625038216,0.3198806211690497,0.113137776339025,0.12375488863052247,0.09939719578486146
0.10148546971626182,0.09026044796954646,0.1555421645936742,1.0,-0.24085044705933317,0.5524422545435947,0.20770816388036542,0.05969149502568346,0.1511259206640027,-0.0765555494501495,0.15089776941402966,0.32857944908265835,-0.17804268563345713,0.4084049830468234,-0.0888958245869804,-0.1506415502740749,-0.02540424335463868
0.0079281127503293,0.04354155796206492,0.01850479026414151,-0.24085044705933317,1.0,0.6007923166182266,-0.03527652220868993,0.0348716465400569,-0.006533649348597493,0.42394563362239845,-0.4733100889434477,0.20811725235258452,-0.4102419526990838,0.20648526186128377,0.4765858837038556,0.4960578744046467,0.4436215321592143
0.012371736783806556,0.011464958584256078,0.04770217914132665,0.5524422545435947,0.6007923166182266,1.0,0.0723128727834754,-0.027748877160125605,0.03269471897877481,0.33835231590480797,-0.29086294782378014,0.39450327865497,-0.5274679500669882,0.4304071689473903,0.2928440334981008,0.2810055367779264,0.296076254694161
0.9067763323072876,0.8693029736694295,0.9295006031819352,0.20770816388036542,-0.03527652220868993,0.0723128727834754,1.0,0.9057354525568538,0.9840680829461045,-0.26774909786562656,0.1294137442037737,0.3204337759997917,-0.05400187121267249,0.414678927205769,0.08987050601288507,0.10272240158004367,0.07459610078005449
0.9255785965735961,0.9008312587016767,0.9706450834440363,0.05969149502568346,0.0348716465400569,-0.027748877160125605,0.9057354525568538,1.0,0.9666293458479581,-0.2526737937108389,0.14122951294152744,0.18212616427961065,0.06436896788561865,0.27415346355293985,0.13832928412868384,0.14757387411832815,0.12521618554889472
0.9363253455295815,0.9027666973179069,0.9688571933350826,0.1511259206640027,-0.006533649348597493,0.03269471897877481,0.9840680829461045,0.9666293458479581,1.0,-0.26620559322489523,0.13718117921602402,0.2703926572979379,-0.006261716049370965,0.365697450483602,0.11277769698095659,0.12446646003495394,0.09799006928612865
-0.22786914739360836,-0.2876985128480242,-0.24161251082754892,-0.0765555494501495,0.42394563362239845,0.33835231590480797,-0.26774909786562656,-0.2526737937108389,-0.26620559322489523,1.0,0.011735788088619354,-0.2071331373413938,0.03131030193426256,0.015908747499126456,0.7082573046150298,0.686651505550503,0.7091416103851599
0.1361192290202697,0.14371889862907586,0.16243705138599238,0.15089776941402966,-0.4733100889434477,-0.29086294782378014,0.1294137442037737,0.14122951294152744,0.13718117921602402,0.011735788088619354,1.0,-0.49542028354807943,0.797174169535037,-0.37529749283101393,-0.08443679173918452,-0.1249295589771898,-0.042044921499805876
0.2410068026443154,0.2281653550942628,0.2512030814785924,0.32857944908265835,0.20811725235258452,0.39450327865497,0.3204337759997917,0.18212616427961065,0.2703926572979379,-0.2071331373413938,-0.49542028354807943,1.0,-0.7710930719813239,0.8099133613591155,0.1009928670973904,0.12127478799379421,0.07806608243393462
-0.020755799097598025,0.04122646484270938,0.013112261625038216,-0.17804268563345713,-0.4102419526990838,-0.5274679500669882,-0.05400187121267249,0.06436896788561865,-0.006261716049370965,0.03131030193426256,0.797174169535037,-0.7710930719813239,1.0,-0.5657335116904084,-0.07232349712732193,-0.11987735999058909,-0.023313687713602198
0.292337633202026,0.2626834524207428,0.3198806211690497,0.4084049830468234,0.20648526186128377,0.4304071689473903,0.414678927205769,0.27415346355293985,0.365697450483602,0.015908747499126456,-0.37529749283101393,0.8099133613591155,-0.5657335116904084,1.0,0.2885558795274172,0.25053336949538485,0.317748530353193
0.10604948844707573,0.09733702233939671,0.113137776339025,-0.0888958245869804,0.4765858837038556,0.2928440334981008,0.08987050601288507,0.13832928412868384,0.11277769698095659,0.7082573046150298,-0.08443679173918452,0.1009928670973904,-0.07232349712732193,0.2885558795274172,1.0,0.9852808382404828,0.9856715410629414
0.1294172364426235,0.11128952669456588,0.12375488863052247,-0.1506415502740749,0.4960578744046467,0.2810055367779264,0.10272240158004367,0.14757387411832815,0.12446646003495394,0.686651505550503,-0.1249295589771898,0.12127478799379421,-0.11987735999058909,0.25053336949538485,0.9852808382404828,1.0,0.9423292113145708
0.07993191179463591,0.08076118009515122,0.09939719578486146,-0.02540424335463868,0.4436215321592143,0.296076254694161,0.07459610078005449,0.12521618554889472,0.09799006928612865,0.7091416103851599,-0.042044921499805876,0.07806608243393462,-0.023313687713602198,0.317748530353193,0.9856715410629414,0.9423292113145708,1.0
