ID Citizenship,Citizenship,ID Year,Year,Citizenship Status,Geography,ID Geography,Slug Geography,Citizenship %
0,"Citizen",2016,"2016",693480,"Congressional District 42, CA","50000US0642","congressional-district-42-ca",0.9108664842692039
0,"Citizen",2016,"2016",657387,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.8931876451254822
0,"Citizen",2016,"2016",667512,"Congressional District 52, CA","50000US0652","congressional-district-52-ca",0.8994251866863212
0,"Citizen",2016,"2016",3921837,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca",0.8851614414692576
0,"Citizen",2015,"2015",294245828,"United States","01000US","united-states",0.9296425397769669
0,"Citizen",2015,"2015",33074021,"California","04000US06","california",0.8608214668759108
0,"Citizen",2015,"2015",2023371,"Riverside County, CA","05000US06065","riverside-county-ca",0.8804799062850299
0,"Citizen",2015,"2015",2838025,"San Diego County, CA","05000US06073","san-diego-county-ca",0.8805276045144171
0,"Citizen",2015,"2015",682063,"Congressional District 42, CA","50000US0642","congressional-district-42-ca",0.9101770277591696
0,"Citizen",2015,"2015",649624,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.8893756665621616
0,"Citizen",2015,"2015",659108,"Congressional District 52, CA","50000US0652","congressional-district-52-ca",0.9015600314605204
0,"Citizen",2015,"2015",3880166,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca",0.8833011101572777
0,"Citizen",2014,"2014",291850247,"United States","01000US","united-states",0.9291425181610995
0,"Citizen",2014,"2014",32688183,"California","04000US06","california",0.8587031207147834
0,"Citizen",2014,"2014",1991397,"Riverside County, CA","05000US06065","riverside-county-ca",0.8784674570856488
0,"Citizen",2014,"2014",2796329,"San Diego County, CA","05000US06073","san-diego-county-ca",0.8784804829691911
0,"Citizen",2014,"2014",670577,"Congressional District 42, CA","50000US0642","congressional-district-42-ca",0.9112759660046802
0,"Citizen",2014,"2014",639728,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.8873624696920098
0,"Citizen",2014,"2014",654047,"Congressional District 52, CA","50000US0652","congressional-district-52-ca",0.9053631297289366
0,"Citizen",2014,"2014",3826962,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca",0.8806754597012761
0,"Citizen",2013,"2013",289401591,"United States","01000US","united-states",0.9289489471660591
0,"Citizen",2013,"2013",32274313,"California","04000US06","california",0.8570104857033402
0,"Citizen",2013,"2013",1955690,"Riverside County, CA","05000US06065","riverside-county-ca",0.8775703064982805
0,"Citizen",2013,"2013",2753221,"San Diego County, CA","05000US06073","san-diego-county-ca",0.8773067283992907
0,"Citizen",2013,"2013",659832,"Congressional District 42, CA","50000US0642","congressional-district-42-ca",0.9107047474980298
0,"Citizen",2013,"2013",629067,"Congressional District 50, CA","50000US0650","congressional-district-50-ca",0.8857952721312583
0,"Citizen",2013,"2013",645529,"Congressional District 52, CA","50000US0652","congressional-district-52-ca",0.9072509353189361
0,"Citizen",2013,"2013",3772413,"Riverside-San Bernardino-Ontario, CA","31000US40140","riverside-san-bernardino-ontario-ca",0.8802854220672168
