ID Group,Group,ID Degree,Degree,ID Year,Year,ID Nation,Nation,ID State,State,Total Population
"No Schooling","No Schooling",1,"No schooling completed",2020,"2020","01000US","United States","04000US06","California",1717275
"Preschool","Preschool",2,"Nursery school, preschool",2020,"2020","01000US","United States","04000US06","California",582619
"Preschool","Preschool",3,"Kindergarten",2020,"2020","01000US","United States","04000US06","California",519379
"Primary Education","Primary Education",4,"Grade 1",2020,"2020","01000US","United States","04000US06","California",498437
"Primary Education","Primary Education",5,"Grade 2",2020,"2020","01000US","United States","04000US06","California",560318
"Primary Education","Primary Education",6,"Grade 3",2020,"2020","01000US","United States","04000US06","California",664827
"Primary Education","Primary Education",7,"Grade 4",2020,"2020","01000US","United States","04000US06","California",603381
"Primary Education","Primary Education",8,"Grade 5",2020,"2020","01000US","United States","04000US06","California",654394
"Primary Education","Primary Education",9,"Grade 6",2020,"2020","01000US","United States","04000US06","California",1237123
"Primary Education","Primary Education",10,"Grade 7",2020,"2020","01000US","United States","04000US06","California",627033
"Secondary Education","Secondary Education",11,"Grade 8",2020,"2020","01000US","United States","04000US06","California",813068
"Secondary Education","Secondary Education",12,"Grade 9",2020,"2020","01000US","United States","04000US06","California",999408
"Secondary Education","Secondary Education",13,"Grade 10",2020,"2020","01000US","United States","04000US06","California",846367
"Secondary Education","Secondary Education",14,"Grade 11",2020,"2020","01000US","United States","04000US06","California",1048114
"Secondary Education","Secondary Education",15,"12th grade - no diploma",2020,"2020","01000US","United States","04000US06","California",819748
"Some college","Some college",18,"Some college, but less than 1 year",2020,"2020","01000US","United States","04000US06","California",1873639
"Some college","Some college",19,"1 or more years of college credit, no degree",2020,"2020","01000US","United States","04000US06","California",5266842
"Associates Degree","Associates Degree",20,"Associates Degree",2019,"2019","01000US","United States","04000US06","California",2261537
"Bachelors Degree","Bachelors Degree",21,"Bachelors Degree",2019,"2019","01000US","United States","04000US06","California",5969178
"Graduate Degree","Graduate Degree",22,"Masters Degree",2019,"2019","01000US","United States","04000US06","California",2298152
"Graduate Degree","Graduate Degree",23,"Professional degree",2019,"2019","01000US","United States","04000US06","California",643163
"Graduate Degree","Graduate Degree",24,"Doctorate degree",2019,"2019","01000US","United States","04000US06","California",436750
"High School or Equivalent","High School or Equivalent",16,"Regular high school diploma",2019,"2019","01000US","United States","04000US06","California",5989564
"High School or Equivalent","High School or Equivalent",17,"GED or alternative credential",2019,"2019","01000US","United States","04000US06","California",668182
"No Schooling","No Schooling",1,"No schooling completed",2019,"2019","01000US","United States","04000US06","California",1696816
"Preschool","Preschool",2,"Nursery school, preschool",2019,"2019","01000US","United States","04000US06","California",583404
"Preschool","Preschool",3,"Kindergarten",2019,"2019","01000US","United States","04000US06","California",513951
"Primary Education","Primary Education",4,"Grade 1",2019,"2019","01000US","United States","04000US06","California",506568
"Primary Education","Primary Education",5,"Grade 2",2019,"2019","01000US","United States","04000US06","California",572536
"Primary Education","Primary Education",6,"Grade 3",2019,"2019","01000US","United States","04000US06","California",672427
"Primary Education","Primary Education",7,"Grade 4",2019,"2019","01000US","United States","04000US06","California",612042
"Primary Education","Primary Education",8,"Grade 5",2019,"2019","01000US","United States","04000US06","California",657266
"Primary Education","Primary Education",9,"Grade 6",2019,"2019","01000US","United States","04000US06","California",1279028
"Primary Education","Primary Education",10,"Grade 7",2019,"2019","01000US","United States","04000US06","California",635295
"Secondary Education","Secondary Education",11,"Grade 8",2019,"2019","01000US","United States","04000US06","California",831042
"Secondary Education","Secondary Education",12,"Grade 9",2019,"2019","01000US","United States","04000US06","California",1021629
"Secondary Education","Secondary Education",13,"Grade 10",2019,"2019","01000US","United States","04000US06","California",866282
"Secondary Education","Secondary Education",14,"Grade 11",2019,"2019","01000US","United States","04000US06","California",1084488
"Secondary Education","Secondary Education",15,"12th grade - no diploma",2019,"2019","01000US","United States","04000US06","California",821774
"Some college","Some college",18,"Some college, but less than 1 year",2019,"2019","01000US","United States","04000US06","California",1869894
"Some college","Some college",19,"1 or more years of college credit, no degree",2019,"2019","01000US","United States","04000US06","California",5362381
"Associates Degree","Associates Degree",20,"Associates Degree",2018,"2018","01000US","United States","04000US06","California",2234742
"Bachelors Degree","Bachelors Degree",21,"Bachelors Degree",2018,"2018","01000US","United States","04000US06","California",5800621
"Graduate Degree","Graduate Degree",22,"Masters Degree",2018,"2018","01000US","United States","04000US06","California",2224684
"Graduate Degree","Graduate Degree",23,"Professional degree",2018,"2018","01000US","United States","04000US06","California",630740
"Graduate Degree","Graduate Degree",24,"Doctorate degree",2018,"2018","01000US","United States","04000US06","California",422068
"High School or Equivalent","High School or Equivalent",16,"Regular high school diploma",2018,"2018","01000US","United States","04000US06","California",5956520
"High School or Equivalent","High School or Equivalent",17,"GED or alternative credential",2018,"2018","01000US","United States","04000US06","California",665051
"No Schooling","No Schooling",1,"No schooling completed",2018,"2018","01000US","United States","04000US06","California",1704807
"Preschool","Preschool",2,"Nursery school, preschool",2018,"2018","01000US","United States","04000US06","California",576354
"Preschool","Preschool",3,"Kindergarten",2018,"2018","01000US","United States","04000US06","California",516939
"Primary Education","Primary Education",4,"Grade 1",2018,"2018","01000US","United States","04000US06","California",515153
"Primary Education","Primary Education",5,"Grade 2",2018,"2018","01000US","United States","04000US06","California",581300
"Primary Education","Primary Education",6,"Grade 3",2018,"2018","01000US","United States","04000US06","California",678065
"Primary Education","Primary Education",7,"Grade 4",2018,"2018","01000US","United States","04000US06","California",618781
"Primary Education","Primary Education",8,"Grade 5",2018,"2018","01000US","United States","04000US06","California",666488
"Primary Education","Primary Education",9,"Grade 6",2018,"2018","01000US","United States","04000US06","California",1299540
"Primary Education","Primary Education",10,"Grade 7",2018,"2018","01000US","United States","04000US06","California",638470
"Secondary Education","Secondary Education",11,"Grade 8",2018,"2018","01000US","United States","04000US06","California",846951
"Secondary Education","Secondary Education",12,"Grade 9",2018,"2018","01000US","United States","04000US06","California",1023841
"Secondary Education","Secondary Education",13,"Grade 10",2018,"2018","01000US","United States","04000US06","California",882619
"Secondary Education","Secondary Education",14,"Grade 11",2018,"2018","01000US","United States","04000US06","California",1112140
"Secondary Education","Secondary Education",15,"12th grade - no diploma",2018,"2018","01000US","United States","04000US06","California",818635
"Some college","Some college",18,"Some college, but less than 1 year",2018,"2018","01000US","United States","04000US06","California",1872360
"Some college","Some college",19,"1 or more years of college credit, no degree",2018,"2018","01000US","United States","04000US06","California",5409188
"Associates Degree","Associates Degree",20,"Associates Degree",2017,"2017","01000US","United States","04000US06","California",2204944
"Bachelors Degree","Bachelors Degree",21,"Bachelors Degree",2017,"2017","01000US","United States","04000US06","California",5637253
"Graduate Degree","Graduate Degree",22,"Masters Degree",2017,"2017","01000US","United States","04000US06","California",2138258
"Graduate Degree","Graduate Degree",23,"Professional degree",2017,"2017","01000US","United States","04000US06","California",615633
"Graduate Degree","Graduate Degree",24,"Doctorate degree",2017,"2017","01000US","United States","04000US06","California",409079
"High School or Equivalent","High School or Equivalent",16,"Regular high school diploma",2017,"2017","01000US","United States","04000US06","California",5917713
"High School or Equivalent","High School or Equivalent",17,"GED or alternative credential",2017,"2017","01000US","United States","04000US06","California",662593
"No Schooling","No Schooling",1,"No schooling completed",2017,"2017","01000US","United States","04000US06","California",1708896
"Preschool","Preschool",2,"Nursery school, preschool",2017,"2017","01000US","United States","04000US06","California",570831
"Preschool","Preschool",3,"Kindergarten",2017,"2017","01000US","United States","04000US06","California",521806
"Primary Education","Primary Education",4,"Grade 1",2017,"2017","01000US","United States","04000US06","California",522908
"Primary Education","Primary Education",5,"Grade 2",2017,"2017","01000US","United States","04000US06","California",587615
"Primary Education","Primary Education",6,"Grade 3",2017,"2017","01000US","United States","04000US06","California",688593
"Primary Education","Primary Education",7,"Grade 4",2017,"2017","01000US","United States","04000US06","California",624411
"Primary Education","Primary Education",8,"Grade 5",2017,"2017","01000US","United States","04000US06","California",667636
"Primary Education","Primary Education",9,"Grade 6",2017,"2017","01000US","United States","04000US06","California",1321878
