"election","type","rgprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g20","R","1751000","474","190","160","19","1","1","4","0","1","0","98","241","233","14","4","2","1","12","7","7","1","0","0","0","0","0","0","2","0","4","2","9","0","0","0","0","0","3","0","0","0","3","3","0","0","0","8","14","18","13","14","21","0","8","11","22","15","16","30","0","6","13","7","8","20","29","0","2","7","8","9","20","31","0","6","5","17","6","8","14","0","5","9","12","6","3","7","0","0","3","2","3","1","5","0","3","2","4","1","1","1","96","25","15","3","10","2","1","0","38","57","21","13","2","6","2","5","4","50","30","29","6","0","5","3","2","5","18","18","3","2","1","1","0","0","0","1"
"g20","R","1751100","743","298","251","20","1","3","8","1","2","0","159","370","373","32","12","11","2","14","9","11","1","0","0","1","0","1","1","2","0","2","4","7","0","5","0","1","0","3","1","2","0","1","2","4","0","0","16","12","26","18","24","38","0","12","16","35","21","31","49","0","2","8","15","11","38","61","0","1","8","15","13","31","48","0","13","11","15","19","17","12","0","5","13","18","12","10","14","0","1","5","4","3","1","0","0","3","2","4","3","3","6","155","34","21","2","8","4","8","5","61","95","31","12","1","13","4","8","3","84","63","31","16","5","13","2","4","8","17","24","4","4","0","1","0","0","0","2"
"g20","R","1751200","398","152","111","15","1","3","4","0","0","0","112","197","201","23","15","12","3","12","7","6","0","0","0","2","0","1","1","0","0","1","2","2","0","0","1","1","0","2","1","1","0","0","2","2","0","0","5","10","13","11","17","14","0","5","12","19","10","22","14","0","3","5","10","11","11","16","0","1","10","8","9","11","16","0","7","16","19","6","3","6","0","5","14","12","8","10","6","0","0","6","4","1","2","1","0","1","3","3","1","1","0","93","13","12","2","6","1","5","1","19","49","12","5","4","4","2","6","4","25","59","24","14","3","1","3","0","1","7","15","3","1","1","3","0","0","0","0"
"g20","R","1751500","182","74","58","6","0","1","2","0","0","0","41","87","95","5","5","2","2","11","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","5","3","5","7","0","2","6","9","7","14","12","0","3","4","4","6","10","7","0","3","3","0","1","6","11","0","2","2","4","7","2","5","0","4","4","2","3","6","0","0","1","1","2","1","1","1","0","0","1","0","0","0","1","35","7","6","1","3","1","3","0","18","23","8","3","1","6","1","3","2","11","15","9","3","3","3","2","0","1","5","6","1","1","0","0","0","0","1","0"
"g20","R","1751800","225","91","72","8","0","1","0","1","0","0","52","111","114","8","4","4","3","5","3","4","0","0","0","0","0","0","0","0","0","4","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","3","5","5","10","4","11","0","6","7","6","7","10","17","0","3","2","4","3","10","22","0","1","4","2","2","8","11","0","4","3","8","2","2","5","0","4","6","8","3","2","5","0","0","1","2","1","1","0","0","0","1","0","1","2","1","53","15","5","0","0","1","3","0","14","20","13","8","3","4","1","3","4","16","22","10","9","0","2","3","0","0","6","9","0","0","0","0","0","0","1","0"
"g20","R","1752000","537","236","136","15","1","4","3","1","1","0","140","255","282","34","9","6","2","9","2","3","0","0","0","0","0","1","0","1","0","2","3","2","0","0","0","2","0","3","0","3","0","1","7","3","0","0","7","18","16","15","18","19","0","14","20","30","20","19","40","0","4","9","10","10","16","17","0","2","5","1","23","14","25","0","6","16","15","22","10","11","0","5","7","23","7","10","8","0","1","3","2","6","3","1","0","0","2","0","2","3","2","147","21","12","2","6","4","7","3","34","73","15","7","1","4","2","4","2","28","68","33","10","6","2","2","6","3","10","15","3","3","0","1","0","0","0","3"
"g20","R","1752100","303","124","89","9","0","5","2","0","4","0","70","148","155","17","2","11","3","4","5","4","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","1","0","3","13","5","11","7","14","0","11","12","5","16","8","19","0","4","9","3","9","10","20","0","2","2","4","8","9","9","0","8","8","4","4","3","6","0","4","9","5","6","8","5","0","2","0","2","0","0","3","0","3","1","1","2","2","4","60","20","10","0","7","2","3","3","19","35","11","7","2","3","0","1","1","29","33","14","6","1","6","2","2","0","6","14","4","1","0","0","0","0","0","1"
"g20","R","1752200","56","23","10","0","0","2","0","0","0","0","21","25","31","6","0","8","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","2","1","2","0","2","0","3","3","3","1","1","5","0","0","0","0","2","0","1","0","0","0","2","2","0","3","0","0","2","5","4","0","3","0","0","0","2","4","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","14","1","2","0","1","1","1","0","3","4","0","0","1","1","1","0","0","3","7","4","3","1","2","0","1","1","2","2","0","0","0","0","0","0","0","0"
"g20","R","1752300","205","79","78","4","0","2","3","0","0","0","39","101","104","7","10","5","1","4","6","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","4","2","14","4","5","9","0","6","5","6","9","7","8","0","1","4","7","8","11","10","0","2","3","6","8","7","11","0","2","3","5","1","5","1","0","4","5","6","3","3","1","0","0","3","0","2","0","0","0","1","0","1","0","1","1","38","10","7","2","2","2","2","3","13","28","10","6","2","4","3","2","2","21","18","3","7","0","2","2","3","0","4","6","1","0","0","1","0","0","0","1"
"g20","R","1752400","72","24","21","2","0","0","0","0","0","0","25","34","38","3","4","6","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","3","0","2","3","0","0","3","3","2","3","2","3","0","1","1","4","0","0","4","0","0","0","3","2","2","4","0","4","0","4","3","2","1","0","2","3","2","1","1","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","10","6","1","0","1","0","0","0","6","8","4","0","0","0","0","1","1","7","10","7","3","0","0","0","1","1","3","1","0","0","0","0","0","0","0","1"
"g20","R","1752500","1009","424","325","48","1","3","9","0","3","1","195","488","521","35","17","23","5","35","11","3","3","2","3","0","0","0","1","1","0","5","6","3","0","0","2","0","0","1","3","3","0","4","0","0","0","0","14","22","31","29","26","52","0","25","22","48","34","36","85","0","11","22","18","34","38","47","0","7","12","18","25","36","57","0","13","28","20","17","14","20","0","6","10","16","20","11","20","0","3","7","6","6","2","8","0","4","5","4","4","7","9","208","50","29","5","20","7","21","9","75","135","43","10","5","14","4","9","13","92","89","38","16","6","11","2","6","7","20","41","5","4","2","2","0","1","2","8"
"g20","R","1752600","117","41","31","5","0","0","3","0","1","0","36","59","58","9","3","6","3","0","0","0","1","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","1","0","2","0","1","0","0","0","3","2","3","2","8","0","1","1","3","5","3","10","0","1","1","1","1","2","9","0","0","3","0","1","3","9","0","5","2","3","6","3","1","0","2","3","4","2","1","4","0","1","3","0","1","1","0","0","0","0","2","0","0","1","21","4","3","0","2","0","3","1","7","15","2","1","0","0","1","0","2","10","19","9","1","0","2","1","1","0","3","6","0","2","0","0","1","0","0","0"
"g20","R","1752700","216","105","43","6","0","1","6","0","3","0","52","99","117","15","2","5","3","3","2","1","0","0","1","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","2","0","1","0","0","3","0","4","10","14","5","3","3","0","5","13","16","13","7","12","0","1","3","6","4","8","2","0","0","1","6","4","4","4","0","3","5","11","5","4","2","0","2","1","5","7","5","2","0","0","1","3","1","1","0","0","1","0","5","2","1","1","65","14","9","1","4","1","2","1","8","20","6","4","1","2","0","1","0","9","30","7","6","1","1","1","2","1","3","10","4","2","0","0","0","0","0","0"
"g20","R","1753000","892","366","296","31","3","4","20","0","4","0","168","449","443","47","17","26","9","20","11","7","2","0","1","0","0","6","0","0","0","0","1","1","0","5","0","2","0","1","4","2","0","3","2","3","1","0","13","14","34","22","19","47","0","16","22","45","38","33","63","0","16","16","21","25","32","57","0","2","15","16","20","23","53","0","14","13","27","14","13","13","0","5","10","19","16","9","15","0","8","10","5","6","5","5","0","2","5","5","5","4","2","158","56","34","7","9","4","16","6","76","121","23","20","11","14","8","8","5","86","78","25","17","6","10","3","4","5","20","41","7","5","2","1","2","1","0","3"
